Clone	chlorophyll_pos	YFP_pos	Mean_YFP_pos	Technical_replicate	Construct
Sh ble_plate1	90.8	0.00895	1.12	TechRep_1	EV
YFP_Cys_1	67	61.4	4.39	TechRep_1	PtCys_YFP
YFP_Cys_2	27.7	66.7	5.85	TechRep_1	PtCys_YFP
YFP_Cys_3	79.5	41.8	3.55	TechRep_1	PtCys_YFP
YFP_Cys_4	46.3	55.3	4.74	TechRep_1	PtCys_YFP
YFP_Cys_5	10.7	65.4	4.97	TechRep_1	PtCys_YFP
YFP_Cys_6	76.4	0	n/a	TechRep_1	PtCys_YFP
YFP_Cys_7	66.7	54.3	4.84	TechRep_1	PtCys_YFP
YFP_Cys_8	2.42	20	1.06	TechRep_1	PtCys_YFP
YFP_Cys_9	72.2	69	5.88	TechRep_1	PtCys_YFP
YFP_Cys_10	17.6	73.1	4.41	TechRep_1	PtCys_YFP
YFP_Cys_11	81.1	73.6	4.62	TechRep_1	PtCys_YFP
YFP_Cys_12	59.6	69.3	5	TechRep_1	PtCys_YFP
YFP_Cys_13	46.8	66	6.48	TechRep_1	PtCys_YFP
YFP_Cys_14	76.5	71.9	4.72	TechRep_1	PtCys_YFP
YFP_Cys_15	52.6	56.5	4.92	TechRep_1	PtCys_YFP
YFP_Cys_16	46.3	0	n/a	TechRep_1	PtCys_YFP
YFP_Cys_17	73.3	63.2	4.15	TechRep_1	PtCys_YFP
YFP_Cys_18	31.4	32.7	4.65	TechRep_1	PtCys_YFP
YFP_Cys_19	38.7	67.4	6.24	TechRep_1	PtCys_YFP
YFP_Cys_20	87.5	56.1	3.02	TechRep_1	PtCys_YFP
YFP_Cys_21	71.4	48.4	3.87	TechRep_1	PtCys_YFP
YFP_Cys_22	67.8	0.059	1.89	TechRep_1	PtCys_YFP
YFP_Cys_23	83.6	67.2	4.73	TechRep_1	PtCys_YFP
YFP_Cys_24	7.92	0.04	1	TechRep_1	PtCys_YFP
YFP_Cys_25	70.6	51.3	4.47	TechRep_1	PtCys_YFP
YFP_Cys_26	34.6	60.6	5.03	TechRep_1	PtCys_YFP
YFP_Cys_27	86.8	6.22	1.25	TechRep_1	PtCys_YFP
YFP_Cys_28	81.7	62.6	4.26	TechRep_1	PtCys_YFP
YFP_Cys_29	69.1	0.05	3.48	TechRep_1	PtCys_YFP
YFP_Cys_30	71.9	71.1	6.58	TechRep_1	PtCys_YFP
YFP_Cys_31	65	68	4.93	TechRep_1	PtCys_YFP
YFP_Cys_32	60.2	65.1	4.55	TechRep_1	PtCys_YFP
YFP_Cys_33	75.5	60.2	3.73	TechRep_1	PtCys_YFP
YFP_Cys_34	58.9	0	n/a	TechRep_1	PtCys_YFP
YFP_Cys_35	75.3	61.2	4.01	TechRep_1	PtCys_YFP
YFP_Cys_36	0.82	0	n/a	TechRep_1	PtCys_YFP
YFP_Cys_37	75.8	66.1	4.99	TechRep_1	PtCys_YFP
YFP_Cys_38	70.7	57	5.85	TechRep_1	PtCys_YFP
YFP_Cys_39	71.9	20.2	3.1	TechRep_1	PtCys_YFP
YFP_Cys_40	54.2	59.7	6.77	TechRep_1	PtCys_YFP
YFP_Cys_41	85	64.6	4.47	TechRep_1	PtCys_YFP
YFP_Cys_42	71	70.1	7.22	TechRep_1	PtCys_YFP
YFP_Cys_43	12.1	62.7	7	TechRep_1	PtCys_YFP
YFP_Cys_44	81.3	32.6	5.39	TechRep_1	PtCys_YFP
YFP_Cys_45	74.9	65.2	8.23	TechRep_1	PtCys_YFP
YFP_Cys_46	84.4	63	4.39	TechRep_1	PtCys_YFP
YFP_Cys_47	2.7	14.3	0.8	TechRep_1	PtCys_YFP
YFP_Cys_48	60.4	21.2	2.89	TechRep_1	PtCys_YFP
YFP_Cys_49	72.2	72.4	5.69	TechRep_1	PtCys_YFP
YFP_Cys_50	8.23	7.69	1.36	TechRep_1	PtCys_YFP
YFP_Cys_51	88.1	62.9	4.52	TechRep_1	PtCys_YFP
YFP_Cys_52	90.5	69.5	3.19	TechRep_1	PtCys_YFP
YFP_Cys_53	85.8	58.2	3.98	TechRep_1	PtCys_YFP
YFP_Cys_54	71.4	55.7	3.9	TechRep_1	PtCys_YFP
YFP_Cys_56	90.6	65.8	5.08	TechRep_1	PtCys_YFP
YFP_Cys_55	25.5	25	2.4	TechRep_1	PtCys_YFP
YFP_Cys_57	69.6	0	n/a	TechRep_1	PtCys_YFP
YFP_Cys_58	3.33	27.4	2.05	TechRep_1	PtCys_YFP
YFP_Cys_59	79.8	46.7	3.04	TechRep_1	PtCys_YFP
YFP_Cys_60	1.93	14.3	1.87	TechRep_1	PtCys_YFP
YFP_Cys_61	85.3	59.9	4.13	TechRep_1	PtCys_YFP
YFP_Cys_62	35.8	56.4	3.93	TechRep_1	PtCys_YFP
YFP_Cys_63	61.5	63.4	4.84	TechRep_1	PtCys_YFP
YFP_Cys_64	64.9	59.8	4.28	TechRep_1	PtCys_YFP
YFP_Cys_65	72.4	56.8	4.2	TechRep_1	PtCys_YFP
YFP_Cys_66	3.59	24.6	1.95	TechRep_1	PtCys_YFP
YFP_Cys_67	13.1	51.9	3.79	TechRep_1	PtCys_YFP
YFP_Cys_68	29.5	69.6	6.12	TechRep_1	PtCys_YFP
YFP_Cys_69	38.8	0.058	1.36	TechRep_1	PtCys_YFP
YFP_Cys_70	66.8	53.5	4.27	TechRep_1	PtCys_YFP
YFP_Cys_71	41.8	55.3	3.72	TechRep_1	PtCys_YFP
YFP_Cys_72	53.9	48.7	3.75	TechRep_1	PtCys_YFP
Sh ble_plate2	90.3	0.017	0.74	TechRep_1	EV
YFP_1	71	0.17	0.59	TechRep_1	YFP
YFP_2	34.8	42.8	3.57	TechRep_1	YFP
YFP_3	26.3	60	6.19	TechRep_1	YFP
YFP_4	0	0	n/a	TechRep_1	YFP
YFP_5	2.56	53.2	3.75	TechRep_1	YFP
YFP_6	4.83	57.1	3.46	TechRep_1	YFP
YFP_7	0.2	58.6	5.16	TechRep_1	YFP
YFP_8	52.8	0.37	0.4	TechRep_1	YFP
YFP_9	8.64	66.7	6	TechRep_1	YFP
YFP_10	0	0	n/a	TechRep_1	YFP
YFP_11	39	52.8	3.4	TechRep_1	YFP
YFP_12	70.6	40.3	4.08	TechRep_1	YFP
YFP_13	68.7	50.3	3.72	TechRep_1	YFP
YFP_14	38.7	52.7	3.47	TechRep_1	YFP
YFP_15	80.5	58.7	3.78	TechRep_1	YFP
YFP_16	41.9	40.6	3.9	TechRep_1	YFP
YFP_17	64.7	44.5	4.07	TechRep_1	YFP
YFP_18	30.5	65.1	4.87	TechRep_1	YFP
YFP_19	46.2	62.8	6.33	TechRep_1	YFP
YFP_20	41.6	53	3.77	TechRep_1	YFP
YFP_21	13.4	51.6	6.59	TechRep_1	YFP
YFP_22	76.2	57.7	5.72	TechRep_1	YFP
YFP_23	29.5	62.3	6.52	TechRep_1	YFP
YFP_24	52.5	56.7	4.78	TechRep_1	YFP
YFP_25	9.65	64.1	5.96	TechRep_1	YFP
YFP_26	91.2	49.3	4.07	TechRep_1	YFP
YFP_27	68	50.2	4.22	TechRep_1	YFP
YFP_28	8.52	49.2	5.35	TechRep_1	YFP
YFP_29	23.6	34.6	3.98	TechRep_1	YFP
YFP_30	30.7	49.7	4.82	TechRep_1	YFP
YFP_31	65.6	48.9	5.45	TechRep_1	YFP
YFP_32	94.8	4.15	2.04	TechRep_1	YFP
YFP_33	2.82	0	n/a	TechRep_1	YFP
YFP_34	93.2	45.2	5.42	TechRep_1	YFP
YFP_35	90.5	50.2	5.63	TechRep_1	YFP
YFP_36	73.2	13.9	3.25	TechRep_1	YFP
YFP_37	35.3	45.9	5.22	TechRep_1	YFP
YFP_38	92	34.2	3.93	TechRep_1	YFP
YFP_39	52.6	36.3	5.03	TechRep_1	YFP
YFP_40	49.1	0	n/a	TechRep_1	YFP
YFP_41	5.02	0	n/a	TechRep_1	YFP
YFP_42	0.22	55.8	8.7	TechRep_1	YFP
YFP_43	0.32	55.6	5.97	TechRep_1	YFP
YFP_44	81.8	58.6	5.65	TechRep_1	YFP
YFP_45	11.1	36	7.69	TechRep_1	YFP
YFP_47	83.6	38.7	5.34	TechRep_1	YFP
YFP_46	3.57	0	n/a	TechRep_1	YFP
YFP_48	16	28.3	2.83	TechRep_1	YFP
YFP_49	0.82	28.6	3.69	TechRep_1	YFP
YFP_50	56.7	34.1	5.2	TechRep_1	YFP
YFP_51	1.21	45.8	9.64	TechRep_1	YFP
YFP_52	61.7	0	n/a	TechRep_1	YFP
YFP_53	80.1	44.5	4.8	TechRep_1	YFP
YFP_54	28.3	1.45	5.46	TechRep_1	YFP
YFP_55	72.3	0	n/a	TechRep_1	YFP
YFP_56	12.9	49.3	6.87	TechRep_1	YFP
YFP_57	29.8	48.5	8.63	TechRep_1	YFP
YFP_58	75.9	47.4	6.45	TechRep_1	YFP
YFP_59	1.35	26.3	4.2	TechRep_1	YFP
YFP_60	10.4	36.6	3.98	TechRep_1	YFP
YFP_61	53.7	51	6.02	TechRep_1	YFP
YFP_62	82.5	48.4	5.35	TechRep_1	YFP
YFP_63	92.6	30.8	4.12	TechRep_1	YFP
YFP_64	93.7	45.9	5.03	TechRep_1	YFP
YFP_65	72.5	67	7.03	TechRep_1	YFP
YFP_66	80.8	46.6	4.5	TechRep_1	YFP
YFP_67	53.7	57.6	5.67	TechRep_1	YFP
YFP_68	64.5	0.31	2.5	TechRep_1	YFP
YFP_69	32.3	36.8	4.73	TechRep_1	YFP
YFP_70	45.9	56.3	6.25	TechRep_1	YFP
YFP_71	77	52.6	5.42	TechRep_1	YFP
YFP_72	29.4	46.9	4.8	TechRep_1	YFP
Sh ble_plate1	86.9	0.098	1.35	TechRep_2	EV
YFP_Cys_1	3.88	31	4.59	TechRep_2	PtCys_YFP
YFP_Cys_2	1.56	53.2	4.04	TechRep_2	PtCys_YFP
YFP_Cys_3	55.9	38.1	3.94	TechRep_2	PtCys_YFP
YFP_Cys_4	0.5	65	5.88	TechRep_2	PtCys_YFP
YFP_Cys_5	31.8	60.8	3.76	TechRep_2	PtCys_YFP
YFP_Cys_6	19.6	52.7	4.1	TechRep_2	PtCys_YFP
YFP_Cys_7	2.11	59.1	3.8	TechRep_2	PtCys_YFP
YFP_Cys_8	77.3	48.3	4.23	TechRep_2	PtCys_YFP
YFP_Cys_9	0.78	56.2	2.79	TechRep_2	PtCys_YFP
YFP_Cys_10	5.22	65.9	4	TechRep_2	PtCys_YFP
YFP_Cys_11	47.5	56.6	3.78	TechRep_2	PtCys_YFP
YFP_Cys_12	35	30.3	4.31	TechRep_2	PtCys_YFP
YFP_Cys_13	91.2	64.2	5.61	TechRep_2	PtCys_YFP
YFP_Cys_14	22.8	55.4	4.31	TechRep_2	PtCys_YFP
YFP_Cys_15	27.6	58.5	4.42	TechRep_2	PtCys_YFP
YFP_Cys_16	4.06	9.09	2.39	TechRep_2	PtCys_YFP
YFP_Cys_17	33.9	54.7	3.82	TechRep_2	PtCys_YFP
YFP_Cys_18	18.9	10.1	2.92	TechRep_2	PtCys_YFP
YFP_Cys_19	1.32	37	4.07	TechRep_2	PtCys_YFP
YFP_Cys_20	18.1	31.7	2.29	TechRep_2	PtCys_YFP
YFP_Cys_21	10.4	45.8	4.11	TechRep_2	PtCys_YFP
YFP_Cys_22	9.57	0	n/a	TechRep_2	PtCys_YFP
YFP_Cys_23	0	0	n/a	TechRep_2	PtCys_YFP
YFP_Cys_24	0.03	0	n/a	TechRep_2	PtCys_YFP
YFP_Cys_25	78.1	51.8	4.52	TechRep_2	PtCys_YFP
YFP_Cys_26	0.57	58.7	4.58	TechRep_2	PtCys_YFP
YFP_Cys_27	29.6	0.85	0.54	TechRep_2	PtCys_YFP
YFP_Cys_28	31.7	56.2	5.37	TechRep_2	PtCys_YFP
YFP_Cys_29	31.1	0	n/a	TechRep_2	PtCys_YFP
YFP_Cys_30	31.2	54.7	5.93	TechRep_2	PtCys_YFP
YFP_Cys_31	90.1	68.5	5.64	TechRep_2	PtCys_YFP
YFP_Cys_32	3.4	61.8	4	TechRep_2	PtCys_YFP
YFP_Cys_33	1.42	61.9	4	TechRep_2	PtCys_YFP
YFP_Cys_34	48.6	0	n/a	TechRep_2	PtCys_YFP
YFP_Cys_35	0	0	n/a	TechRep_2	PtCys_YFP
YFP_Cys_36	5.25	41.2	2.94	TechRep_2	PtCys_YFP
YFP_Cys_37	0.042	0	n/a	TechRep_2	PtCys_YFP
YFP_Cys_38	2.22	25	7.31	TechRep_2	PtCys_YFP
YFP_Cys_39	76.5	22.4	2.75	TechRep_2	PtCys_YFP
YFP_Cys_40	56.4	29.2	3.4	TechRep_2	PtCys_YFP
YFP_Cys_41	75.3	56.9	4.03	TechRep_2	PtCys_YFP
YFP_Cys_42	38.8	24.4	4.03	TechRep_2	PtCys_YFP
YFP_Cys_43	0.58	42.5	4.21	TechRep_2	PtCys_YFP
YFP_Cys_44	50.9	0.23	3.69	TechRep_2	PtCys_YFP
YFP_Cys_45	0	0	n/a	TechRep_2	PtCys_YFP
YFP_Cys_46	36.7	36.9	2.25	TechRep_2	PtCys_YFP
YFP_Cys_47	26.8	18.3	2.18	TechRep_2	PtCys_YFP
YFP_Cys_48	0.045	30	3.04	TechRep_2	PtCys_YFP
YFP_Cys_49	22.6	63.4	4	TechRep_2	PtCys_YFP
YFP_Cys_50	2.38	37.7	1.91	TechRep_2	PtCys_YFP
YFP_Cys_51	2.31	35.4	3.15	TechRep_2	PtCys_YFP
YFP_Cys_52	39.1	52.5	2.89	TechRep_2	PtCys_YFP
YFP_Cys_53	5.16	28.6	1.6	TechRep_2	PtCys_YFP
YFP_Cys_54	3.96	13.3	2.58	TechRep_2	PtCys_YFP
YFP_Cys_56	95.6	32.1	2	TechRep_2	PtCys_YFP
YFP_Cys_55	0	0	n/a	TechRep_2	PtCys_YFP
YFP_Cys_57	36.8	21.2	3.67	TechRep_2	PtCys_YFP
YFP_Cys_58	20.2	22.9	1.35	TechRep_2	PtCys_YFP
YFP_Cys_59	82.5	45.5	2.14	TechRep_2	PtCys_YFP
YFP_Cys_60	82.5	61.1	3.37	TechRep_2	PtCys_YFP
YFP_Cys_61	65.6	62.4	3.91	TechRep_2	PtCys_YFP
YFP_Cys_62	37.7	51.7	3.54	TechRep_2	PtCys_YFP
YFP_Cys_63	1.57	58	3.94	TechRep_2	PtCys_YFP
YFP_Cys_64	87.7	64.9	4.03	TechRep_2	PtCys_YFP
YFP_Cys_65	59.3	60.6	3.79	TechRep_2	PtCys_YFP
YFP_Cys_66	0.92	46	2.07	TechRep_2	PtCys_YFP
YFP_Cys_67	16.4	64.9	4.04	TechRep_2	PtCys_YFP
YFP_Cys_68	1.9	25	2.76	TechRep_2	PtCys_YFP
YFP_Cys_69	6.9	0	n/a	TechRep_2	PtCys_YFP
YFP_Cys_70	61.1	59.8	3.79	TechRep_2	PtCys_YFP
YFP_Cys_71	7.73	65.1	3.79	TechRep_2	PtCys_YFP
YFP_Cys_72	0.29	0	n/a	TechRep_2	PtCys_YFP
Sh ble_plate2	97	0.017	0.03	TechRep_2	EV
YFP_1	97.2	2.69	2.76	TechRep_2	YFP
YFP_2	95.1	43.4	4.82	TechRep_2	YFP
YFP_3	94.1	71.8	4.6	TechRep_2	YFP
YFP_4	83.2	61.4	4.74	TechRep_2	YFP
YFP_5	95	67.4	3.64	TechRep_2	YFP
YFP_6	88.7	68.5	3.34	TechRep_2	YFP
YFP_7	94.6	60.4	4.4	TechRep_2	YFP
YFP_8	91.2	3.69	0.73	TechRep_2	YFP
YFP_9	64.7	61.7	5.18	TechRep_2	YFP
YFP_10	82.7	58.5	3.76	TechRep_2	YFP
YFP_11	92.5	67	3.3	TechRep_2	YFP
YFP_12	84.7	76.9	5.75	TechRep_2	YFP
YFP_13	93.4	69.3	5.01	TechRep_2	YFP
YFP_14	92.1	62	4.14	TechRep_2	YFP
YFP_15	92.1	63.9	5.35	TechRep_2	YFP
YFP_16	89.3	60.5	5.58	TechRep_2	YFP
YFP_17	94.7	71	5.52	TechRep_2	YFP
YFP_18	84.7	69.1	5.44	TechRep_2	YFP
YFP_19	91.4	60	3.64	TechRep_2	YFP
YFP_20	82.7	65.8	4.67	TechRep_2	YFP
YFP_21	83.3	69.9	5.81	TechRep_2	YFP
YFP_22	62.8	52	4.03	TechRep_2	YFP
YFP_23	91.4	70.4	7.22	TechRep_2	YFP
YFP_24	66.6	66	4.82	TechRep_2	YFP
YFP_25	92.9	70.9	6.42	TechRep_2	YFP
YFP_26	96	66.5	4.25	TechRep_2	YFP
YFP_27	95.3	70.9	4.47	TechRep_2	YFP
YFP_28	91.8	42.2	7.63	TechRep_2	YFP
YFP_29	89.3	49.5	3.35	TechRep_2	YFP
YFP_30	95.7	71.3	5.09	TechRep_2	YFP
YFP_31	87.9	63.8	4.42	TechRep_2	YFP
YFP_32	93.9	71.9	1.37	TechRep_2	YFP
YFP_33	75.4	0.61	0.78	TechRep_2	YFP
YFP_34	93	66.1	5.76	TechRep_2	YFP
YFP_35	85.9	72	5.01	TechRep_2	YFP
YFP_36	81.4	36	1.76	TechRep_2	YFP
YFP_37	68.8	74.1	5.05	TechRep_2	YFP
YFP_38	94.9	71.8	3.67	TechRep_2	YFP
YFP_39	95.9	58.8	4.19	TechRep_2	YFP
YFP_40	79.6	2.75	0.74	TechRep_2	YFP
YFP_41	85.2	3.59	0.75	TechRep_2	YFP
YFP_42	93.4	73.9	5.87	TechRep_2	YFP
YFP_43	88.9	69.2	4.93	TechRep_2	YFP
YFP_44	86.2	75.2	3.02	TechRep_2	YFP
YFP_45	55.8	50.4	3.86	TechRep_2	YFP
YFP_47	95.8	61.1	5.57	TechRep_2	YFP
YFP_46	92.9	51.2	2.92	TechRep_2	YFP
YFP_48	71.5	62.4	4.38	TechRep_2	YFP
YFP_49	25.1	30.1	2.89	TechRep_2	YFP
YFP_50	74	45.2	3.58	TechRep_2	YFP
YFP_51	88.5	64.8	5.33	TechRep_2	YFP
YFP_52	94.8	1.36	0.79	TechRep_2	YFP
YFP_53	83.3	61.4	3.6	TechRep_2	YFP
YFP_54	51.6	0.29	0.68	TechRep_2	YFP
YFP_55	80.1	0	n/a	TechRep_2	YFP
YFP_56	81.7	68	4.8	TechRep_2	YFP
YFP_57	94.1	69.3	4.9	TechRep_2	YFP
YFP_58	92.4	61	7.52	TechRep_2	YFP
YFP_59	88.6	55.4	5.1	TechRep_2	YFP
YFP_60	77.6	72.2	4.95	TechRep_2	YFP
YFP_61	81.1	65.5	7.97	TechRep_2	YFP
YFP_62	4	0	n/a	TechRep_2	YFP
YFP_63	0	0	n/a	TechRep_2	YFP
YFP_64	95.4	69.5	5.88	TechRep_2	YFP
YFP_65	94.4	75.3	7.15	TechRep_2	YFP
YFP_66	90.6	74	4.8	TechRep_2	YFP
YFP_67	0.15	75	1.51	TechRep_2	YFP
YFP_68	93.8	8.21	0.75	TechRep_2	YFP
YFP_69	32.6	43.7	3.06	TechRep_2	YFP
YFP_70	84.2	64.5	5.9	TechRep_2	YFP
YFP_71	92.1	72.4	6.52	TechRep_2	YFP
YFP_72	58.3	63.8	6.59	TechRep_2	YFP
