Clone	chlorophyll_pos	YFP_pos	Mean_YFP_pos	Technical_replicate	Construct
Sh ble_plate1	90.3	0.063	0.58	TechRep_5	EV
YFP_Cys_1	91.2	60.6	3.34	TechRep_5	PtCys_YFP
YFP_Cys_2	91.2	72.2	3.77	TechRep_5	PtCys_YFP
YFP_Cys_3	97.5	40.5	1.63	TechRep_5	PtCys_YFP
YFP_Cys_4	95.7	42.9	1.85	TechRep_5	PtCys_YFP
YFP_Cys_5	96.9	46.8	1.98	TechRep_5	PtCys_YFP
YFP_Cys_6	89.8	0.21	0.54	TechRep_5	PtCys_YFP
YFP_Cys_7	93.2	55.5	2.86	TechRep_5	PtCys_YFP
YFP_Cys_8	93.1	38.9	3.55	TechRep_5	PtCys_YFP
YFP_Cys_9	90.9	60.4	4.3	TechRep_5	PtCys_YFP
YFP_Cys_10	93.5	58.4	3.61	TechRep_5	PtCys_YFP
YFP_Cys_11	96.1	52	2.4	TechRep_5	PtCys_YFP
YFP_Cys_12	94.5	42	2.34	TechRep_5	PtCys_YFP
YFP_Cys_13	96.6	60.8	3.02	TechRep_5	PtCys_YFP
YFP_Cys_14	95.8	50.7	2.23	TechRep_5	PtCys_YFP
YFP_Cys_15	87.9	40.3	2.89	TechRep_5	PtCys_YFP
YFP_Cys_16	93.2	24.1	1.89	TechRep_5	PtCys_YFP
YFP_Cys_17	94.5	42	1.97	TechRep_5	PtCys_YFP
YFP_Cys_18	96.4	30.7	1.66	TechRep_5	PtCys_YFP
YFP_Cys_19	86.9	50.1	3.15	TechRep_5	PtCys_YFP
YFP_Cys_20	96.2	41	1.84	TechRep_5	PtCys_YFP
YFP_Cys_21	94.4	43.6	3.01	TechRep_5	PtCys_YFP
YFP_Cys_22	92.7	0.19	0.65	TechRep_5	PtCys_YFP
YFP_Cys_23	95.7	38.3	2.05	TechRep_5	PtCys_YFP
YFP_Cys_24	88.6	1.18	0.62	TechRep_5	PtCys_YFP
YFP_Cys_25	93.5	46.1	3.07	TechRep_5	PtCys_YFP
YFP_Cys_26	86.8	61	2.82	TechRep_5	PtCys_YFP
YFP_Cys_27	92.1	12	1.37	TechRep_5	PtCys_YFP
YFP_Cys_28	32.4	7.27	2.25	TechRep_5	PtCys_YFP
YFP_Cys_29	92.6	0.29	0.56	TechRep_5	PtCys_YFP
YFP_Cys_30	94.2	57.9	3.59	TechRep_5	PtCys_YFP
YFP_Cys_31	96.6	44.6	1.79	TechRep_5	PtCys_YFP
YFP_Cys_32	80.9	52.8	3.65	TechRep_5	PtCys_YFP
YFP_Cys_33	82.8	56	3.57	TechRep_5	PtCys_YFP
YFP_Cys_34	96.5	0.011	1.27	TechRep_5	PtCys_YFP
YFP_Cys_35	94.2	43.5	2.43	TechRep_5	PtCys_YFP
YFP_Cys_36	93.1	60.1	3.83	TechRep_5	PtCys_YFP
YFP_Cys_37	87.5	50.1	3.64	TechRep_5	PtCys_YFP
YFP_Cys_38	88.1	43	4.17	TechRep_5	PtCys_YFP
YFP_Cys_39	96.6	20.8	2.03	TechRep_5	PtCys_YFP
YFP_Cys_40	94.6	50.7	3.24	TechRep_5	PtCys_YFP
YFP_Cys_41	94.4	39.4	2.11	TechRep_5	PtCys_YFP
YFP_Cys_42	92.8	41.8	2.76	TechRep_5	PtCys_YFP
YFP_Cys_43	95.2	32.5	1.99	TechRep_5	PtCys_YFP
YFP_Cys_44	90.9	9.12	2.44	TechRep_5	PtCys_YFP
YFP_Cys_45	86.6	54.2	4.61	TechRep_5	PtCys_YFP
YFP_Cys_46	92.2	45.4	2.35	TechRep_5	PtCys_YFP
YFP_Cys_47	81.5	22.1	1.63	TechRep_5	PtCys_YFP
YFP_Cys_48	82.9	16.6	2.31	TechRep_5	PtCys_YFP
YFP_Cys_49	93.3	69.6	3.55	TechRep_5	PtCys_YFP
YFP_Cys_50	94.9	64.4	2.75	TechRep_5	PtCys_YFP
YFP_Cys_51	96	51.8	2.36	TechRep_5	PtCys_YFP
YFP_Cys_52	98	51.2	1.39	TechRep_5	PtCys_YFP
YFP_Cys_53	92.6	43.5	2	TechRep_5	PtCys_YFP
YFP_Cys_54	95.4	38.6	1.82	TechRep_5	PtCys_YFP
YFP_Cys_56	94.3	34	1.56	TechRep_5	PtCys_YFP
YFP_Cys_55	95.4	46.3	2.36	TechRep_5	PtCys_YFP
YFP_Cys_57	93.9	0.12	0.73	TechRep_5	PtCys_YFP
YFP_Cys_58	95.8	37.4	1.33	TechRep_5	PtCys_YFP
YFP_Cys_59	97	28.3	1.19	TechRep_5	PtCys_YFP
YFP_Cys_60	94.6	34.2	2.65	TechRep_5	PtCys_YFP
YFP_Cys_61	94	49.2	2.95	TechRep_5	PtCys_YFP
YFP_Cys_62	95.7	39.9	1.95	TechRep_5	PtCys_YFP
YFP_Cys_63	89.8	54.4	3.66	TechRep_5	PtCys_YFP
YFP_Cys_64	91.9	77.4	3.81	TechRep_5	PtCys_YFP
YFP_Cys_65	91.9	46.3	2.22	TechRep_5	PtCys_YFP
YFP_Cys_66	72.9	43.6	1.63	TechRep_5	PtCys_YFP
YFP_Cys_67	91.6	47.2	3.01	TechRep_5	PtCys_YFP
YFP_Cys_68	95.2	36.9	2.23	TechRep_5	PtCys_YFP
YFP_Cys_69	78.8	0.55	0.63	TechRep_5	PtCys_YFP
YFP_Cys_70	95.3	42.7	2.33	TechRep_5	PtCys_YFP
YFP_Cys_71	95.9	35.3	2.16	TechRep_5	PtCys_YFP
YFP_Cys_72	90.2	2.26	2.82	TechRep_5	PtCys_YFP
Sh ble_plate2	91	0.051	0.89	TechRep_5	EV
YFP_1	96.3	1.51	0.77	TechRep_5	YFP
YFP_2	95.1	18	2.3	TechRep_5	YFP
YFP_3	97	42.9	2.05	TechRep_5	YFP
YFP_4	85.8	53.2	4.01	TechRep_5	YFP
YFP_5	96.8	37.5	1.98	TechRep_5	YFP
YFP_6	97	37.8	1.83	TechRep_5	YFP
YFP_7	96.5	53.8	2.46	TechRep_5	YFP
YFP_8	96.2	0.13	0.61	TechRep_5	YFP
YFP_9	76.1	38.8	2.32	TechRep_5	YFP
YFP_10	94.9	51.3	2.26	TechRep_5	YFP
YFP_11	97.3	34.8	1.27	TechRep_5	YFP
YFP_12	87.9	43.1	2.32	TechRep_5	YFP
YFP_13	88.5	52.9	3.45	TechRep_5	YFP
YFP_14	90.2	37	2.21	TechRep_5	YFP
YFP_15	93.1	40.7	2.65	TechRep_5	YFP
YFP_16	96.7	39.6	1.73	TechRep_5	YFP
YFP_17	97.2	30.9	1.56	TechRep_5	YFP
YFP_18	83.3	51.9	2.8	TechRep_5	YFP
YFP_19	90.8	50	1.96	TechRep_5	YFP
YFP_20	84.6	55.7	3.81	TechRep_5	YFP
YFP_21	93.7	42.4	2.3	TechRep_5	YFP
YFP_22	88	46.4	2.85	TechRep_5	YFP
YFP_23	93.6	48.8	2.49	TechRep_5	YFP
YFP_24	17	21.9	1.9	TechRep_5	YFP
YFP_25	81.6	51	3.52	TechRep_5	YFP
YFP_26	96.5	35	1.74	TechRep_5	YFP
YFP_27	96.9	39	1.58	TechRep_5	YFP
YFP_28	92.4	40.5	2.5	TechRep_5	YFP
YFP_29	93.2	23.6	1.39	TechRep_5	YFP
YFP_30	97.4	34.7	1.48	TechRep_5	YFP
YFP_31	96.7	37.1	1.61	TechRep_5	YFP
YFP_32	98.4	24.4	0.8	TechRep_5	YFP
YFP_33	22.5	5.44	0.8	TechRep_5	YFP
YFP_34	95.3	39.5	1.82	TechRep_5	YFP
YFP_35	96.5	38.1	1.91	TechRep_5	YFP
YFP_36	84.3	18.7	1.44	TechRep_5	YFP
YFP_37	83.6	63.6	2.93	TechRep_5	YFP
YFP_38	97.5	49.9	1.83	TechRep_5	YFP
YFP_39	97.2	30.5	1.4	TechRep_5	YFP
YFP_40	89.4	0.89	0.61	TechRep_5	YFP
YFP_41	77.6	1.15	0.63	TechRep_5	YFP
YFP_42	94.1	42.4	1.93	TechRep_5	YFP
YFP_43	95.8	38.1	1.69	TechRep_5	YFP
YFP_44	96	46.9	1.53	TechRep_5	YFP
YFP_45	88.9	41.9	2.14	TechRep_5	YFP
YFP_47	92.4	47.6	2.94	TechRep_5	YFP
YFP_46	95.4	36.1	1.81	TechRep_5	YFP
YFP_48	92.4	44.3	2.74	TechRep_5	YFP
YFP_49	69.3	13	2.94	TechRep_5	YFP
YFP_50	88.6	33.1	2.48	TechRep_5	YFP
YFP_51	91.7	48	2.9	TechRep_5	YFP
YFP_52	95	0.25	0.57	TechRep_5	YFP
YFP_53	96.3	34.7	1.88	TechRep_5	YFP
YFP_54	87.5	0.38	0.7	TechRep_5	YFP
YFP_55	86.4	0.54	0.64	TechRep_5	YFP
YFP_56	93	42.9	2.24	TechRep_5	YFP
YFP_57	97.9	34.7	1.72	TechRep_5	YFP
YFP_58	86.3	38	4.73	TechRep_5	YFP
YFP_59	93.6	32.8	2.05	TechRep_5	YFP
YFP_60	79.2	48.8	3.14	TechRep_5	YFP
YFP_61	87.1	51	4.73	TechRep_5	YFP
YFP_62	32.1	35.8	2.07	TechRep_5	YFP
YFP_63	97.9	38.3	1.59	TechRep_5	YFP
YFP_64	95.1	25.5	1.6	TechRep_5	YFP
YFP_65	88.7	59.2	3.41	TechRep_5	YFP
YFP_66	89	68.8	3.04	TechRep_5	YFP
YFP_67	0.5	48	1.28	TechRep_5	YFP
YFP_68	89.9	0.58	0.59	TechRep_5	YFP
YFP_69	89	35.3	2.28	TechRep_5	YFP
YFP_70	92.3	46.9	3.23	TechRep_5	YFP
YFP_71	88.8	53.2	3.81	TechRep_5	YFP
YFP_72	89.5	56.6	4.08	TechRep_5	YFP
Sh ble_plate1	87	0.035	1.17	TechRep_6	EV
YFP_Cys_1	95.3	64.5	2.36	TechRep_6	PtCys_YFP
YFP_Cys_2	85	54.4	2.42	TechRep_6	PtCys_YFP
YFP_Cys_3	94.4	48.2	1.77	TechRep_6	PtCys_YFP
YFP_Cys_4	93.1	51.2	1.89	TechRep_6	PtCys_YFP
YFP_Cys_5	95.1	59.3	2.19	TechRep_6	PtCys_YFP
YFP_Cys_6	88.2	0.00252	0.76	TechRep_6	PtCys_YFP
YFP_Cys_7	90.9	57.9	2.02	TechRep_6	PtCys_YFP
YFP_Cys_8	91.1	60.3	3.12	TechRep_6	PtCys_YFP
YFP_Cys_9	87.3	62.4	2.73	TechRep_6	PtCys_YFP
YFP_Cys_10	89.1	64	2.73	TechRep_6	PtCys_YFP
YFP_Cys_11	95.5	60.9	2.15	TechRep_6	PtCys_YFP
YFP_Cys_12	92.8	40.4	1.83	TechRep_6	PtCys_YFP
YFP_Cys_13	95.1	74.1	3.29	TechRep_6	PtCys_YFP
YFP_Cys_14	94.1	56.2	2.12	TechRep_6	PtCys_YFP
YFP_Cys_15	90.5	60.4	3	TechRep_6	PtCys_YFP
YFP_Cys_16	94.3	0.064	0.92	TechRep_6	PtCys_YFP
YFP_Cys_17	93.1	46.1	1.41	TechRep_6	PtCys_YFP
YFP_Cys_18	90.2	38	1.75	TechRep_6	PtCys_YFP
YFP_Cys_19	97	68.1	3.67	TechRep_6	PtCys_YFP
YFP_Cys_20	97	45.1	1.64	TechRep_6	PtCys_YFP
YFP_Cys_21	96.3	48	2.21	TechRep_6	PtCys_YFP
YFP_Cys_22	92.5	0.043	0.87	TechRep_6	PtCys_YFP
YFP_Cys_23	93.3	43.2	1.75	TechRep_6	PtCys_YFP
YFP_Cys_24	90.1	0.18	0.87	TechRep_6	PtCys_YFP
YFP_Cys_25	92.7	60.5	2.36	TechRep_6	PtCys_YFP
YFP_Cys_26	87.6	63.6	2.49	TechRep_6	PtCys_YFP
YFP_Cys_27	92	4.64	1.34	TechRep_6	PtCys_YFP
YFP_Cys_28	88.7	48.6	2.06	TechRep_6	PtCys_YFP
YFP_Cys_29	95.5	0.022	0.99	TechRep_6	PtCys_YFP
YFP_Cys_30	96.6	69.5	2.81	TechRep_6	PtCys_YFP
YFP_Cys_31	94	51.2	1.62	TechRep_6	PtCys_YFP
YFP_Cys_32	93.3	62.4	3.56	TechRep_6	PtCys_YFP
YFP_Cys_33	91.1	61.8	3.25	TechRep_6	PtCys_YFP
YFP_Cys_34	94.5	0.035	0.9	TechRep_6	PtCys_YFP
YFP_Cys_35	96.4	54.6	1.82	TechRep_6	PtCys_YFP
YFP_Cys_36	90.2	60.5	3.16	TechRep_6	PtCys_YFP
YFP_Cys_37	83.8	66.6	3.02	TechRep_6	PtCys_YFP
YFP_Cys_38	92	68.8	3.49	TechRep_6	PtCys_YFP
YFP_Cys_39	92.6	16.4	1.53	TechRep_6	PtCys_YFP
YFP_Cys_40	96	52.2	3.03	TechRep_6	PtCys_YFP
YFP_Cys_41	93.5	49.7	1.74	TechRep_6	PtCys_YFP
YFP_Cys_42	91.4	71.8	4.35	TechRep_6	PtCys_YFP
YFP_Cys_43	95.9	44.2	1.77	TechRep_6	PtCys_YFP
YFP_Cys_44	91.1	2.67	3.47	TechRep_6	PtCys_YFP
YFP_Cys_45	95.8	65.8	4.15	TechRep_6	PtCys_YFP
YFP_Cys_46	92.1	49	2.12	TechRep_6	PtCys_YFP
YFP_Cys_47	93.7	23.9	1.48	TechRep_6	PtCys_YFP
YFP_Cys_48	89.6	11.8	1.77	TechRep_6	PtCys_YFP
YFP_Cys_49	92.2	58.1	2.02	TechRep_6	PtCys_YFP
YFP_Cys_50	93.7	58.7	2.08	TechRep_6	PtCys_YFP
YFP_Cys_51	92.8	62.5	1.95	TechRep_6	PtCys_YFP
YFP_Cys_52	96.3	54	1.35	TechRep_6	PtCys_YFP
YFP_Cys_53	89.4	49.4	1.89	TechRep_6	PtCys_YFP
YFP_Cys_54	97	46.6	1.6	TechRep_6	PtCys_YFP
YFP_Cys_56	85.7	34.8	1.46	TechRep_6	PtCys_YFP
YFP_Cys_55	92	46.4	1.72	TechRep_6	PtCys_YFP
YFP_Cys_57	94.8	0.24	0.75	TechRep_6	PtCys_YFP
YFP_Cys_58	94	28.1	1.08	TechRep_6	PtCys_YFP
YFP_Cys_59	95.8	31.6	1.17	TechRep_6	PtCys_YFP
YFP_Cys_60	91.3	44	1.89	TechRep_6	PtCys_YFP
YFP_Cys_61	92.4	52.5	1.99	TechRep_6	PtCys_YFP
YFP_Cys_62	93.8	58.7	2.26	TechRep_6	PtCys_YFP
YFP_Cys_63	86.1	63.9	2.9	TechRep_6	PtCys_YFP
YFP_Cys_64	90.2	74.1	3.33	TechRep_6	PtCys_YFP
YFP_Cys_65	93.3	55.1	2.36	TechRep_6	PtCys_YFP
YFP_Cys_66	88.7	39.8	1.86	TechRep_6	PtCys_YFP
YFP_Cys_67	88.6	47.1	2.62	TechRep_6	PtCys_YFP
YFP_Cys_68	91.6	36.1	1.58	TechRep_6	PtCys_YFP
YFP_Cys_69	88.2	0.12	0.77	TechRep_6	PtCys_YFP
YFP_Cys_70	92.9	40.4	1.71	TechRep_6	PtCys_YFP
YFP_Cys_71	92	46.7	1.96	TechRep_6	PtCys_YFP
YFP_Cys_72	86.1	0.085	0.82	TechRep_6	PtCys_YFP
Sh ble_plate2	94	0.015	0.86	TechRep_6	EV
YFP_1	91.2	0.12	0.73	TechRep_6	YFP
YFP_2	93.4	14	1.43	TechRep_6	YFP
YFP_3	94.9	48.1	2.07	TechRep_6	YFP
YFP_4	84.2	66.1	3	TechRep_6	YFP
YFP_5	95.4	53.7	2.24	TechRep_6	YFP
YFP_6	96.2	68.7	2.91	TechRep_6	YFP
YFP_7	96.8	69	2.3	TechRep_6	YFP
YFP_8	96.5	0.02	0.78	TechRep_6	YFP
YFP_9	79.6	73.5	3.18	TechRep_6	YFP
YFP_10	97.3	73	2.02	TechRep_6	YFP
YFP_11	95.8	36.7	1.12	TechRep_6	YFP
YFP_12	94.4	73.1	2.47	TechRep_6	YFP
YFP_13	96.2	69.1	2.12	TechRep_6	YFP
YFP_14	93	63.6	1.71	TechRep_6	YFP
YFP_15	88.2	68.4	2.57	TechRep_6	YFP
YFP_16	95.9	75.3	2.09	TechRep_6	YFP
YFP_17	96.8	72.3	2.12	TechRep_6	YFP
YFP_18	98.9	75.3	3.15	TechRep_6	YFP
YFP_19	98.7	73.1	3.33	TechRep_6	YFP
YFP_20	29	79.4	4.21	TechRep_6	YFP
YFP_21	96.8	73.7	2.1	TechRep_6	YFP
YFP_22	71.5	74	3.31	TechRep_6	YFP
YFP_23	97.6	72.3	2.32	TechRep_6	YFP
YFP_24	96.8	74.2	2.75	TechRep_6	YFP
YFP_25	96.6	69.5	2.82	TechRep_6	YFP
YFP_26	92.8	57.8	1.84	TechRep_6	YFP
YFP_27	93.5	62.4	1.92	TechRep_6	YFP
YFP_28	89.8	78	3.37	TechRep_6	YFP
YFP_29	96.6	57.4	1.71	TechRep_6	YFP
YFP_30	94.5	55	1.7	TechRep_6	YFP
YFP_31	96	52.3	1.85	TechRep_6	YFP
YFP_32	97.7	8.06	0.84	TechRep_6	YFP
YFP_33	27.7	0.048	0.87	TechRep_6	YFP
YFP_34	89.3	65.4	2.34	TechRep_6	YFP
YFP_35	91.2	50	1.83	TechRep_6	YFP
YFP_36	85.4	30	1.15	TechRep_6	YFP
YFP_37	98	57.3	1.85	TechRep_6	YFP
YFP_38	95.5	47.7	1.72	TechRep_6	YFP
YFP_39	94.8	29.7	1.51	TechRep_6	YFP
YFP_40	97.7	0.00112	2.01	TechRep_6	YFP
YFP_41	87.1	0	n/a	TechRep_6	YFP
YFP_42	96.5	39.2	1.56	TechRep_6	YFP
YFP_43	95.6	37.5	1.57	TechRep_6	YFP
YFP_44	98.9	51.5	1.71	TechRep_6	YFP
YFP_45	96.9	40.8	1.71	TechRep_6	YFP
YFP_47	94.8	30.9	2.21	TechRep_6	YFP
YFP_46	95.6	32.5	1.93	TechRep_6	YFP
YFP_48	85.2	28.3	1.85	TechRep_6	YFP
YFP_49	85.7	12.1	1.92	TechRep_6	YFP
YFP_50	88.8	30.1	1.62	TechRep_6	YFP
YFP_51	85.6	38.9	1.83	TechRep_6	YFP
YFP_52	92.4	0	n/a	TechRep_6	YFP
YFP_53	94.8	26.7	1.53	TechRep_6	YFP
YFP_54	72.1	0.01	1.39	TechRep_6	YFP
YFP_55	98.7	0	n/a	TechRep_6	YFP
YFP_56	93	37.7	1.39	TechRep_6	YFP
YFP_57	93.5	30.9	1.37	TechRep_6	YFP
YFP_58	97.1	50.6	1.73	TechRep_6	YFP
YFP_59	94.9	32.1	1.42	TechRep_6	YFP
YFP_60	91.9	44.4	2.07	TechRep_6	YFP
YFP_61	97.9	66.2	2.43	TechRep_6	YFP
YFP_62	94.3	60.6	1.75	TechRep_6	YFP
YFP_63	96.4	30.7	1.46	TechRep_6	YFP
YFP_64	85.1	43.2	1.77	TechRep_6	YFP
YFP_65	98.9	73.8	3.2	TechRep_6	YFP
YFP_66	96.4	61.9	2.6	TechRep_6	YFP
YFP_67	0.22	1.39	0.36	TechRep_6	YFP
YFP_68	81.2	0.029	0.49	TechRep_6	YFP
YFP_69	97.1	56.4	1.64	TechRep_6	YFP
YFP_70	97.5	43.3	1.91	TechRep_6	YFP
YFP_71	94.7	63.4	2.41	TechRep_6	YFP
YFP_72	98.8	62.5	2.58	TechRep_6	YFP
